what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380751604519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751604558
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1380751606567
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751606687
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751606737
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380751606782
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751606804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380751606805
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1380751607027
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751642707
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751644118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751649946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751650859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751651372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751655462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751658206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751660780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751667655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751731827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751734684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751735171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751742154
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380751750206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751768982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751806247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1380751806280
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751806341
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380751806382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751817419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751833888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751838924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751841841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751853285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751863890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380751864812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751903216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751903364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751906946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380751908717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380752295294
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380752301946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380752310127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380752310253
