what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774118722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774136421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774140555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774146848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774583217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774588977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774642043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774644590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774658775
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1380774669209
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774671800
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774676229
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774676265
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774680012
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774680013
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1380774684050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774684156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774715279
executed,command,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1380774715318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774720806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774724110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774736888
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774745548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774745577
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774745604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774752125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774760099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774762471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774936968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774942604
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774945384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774945412
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380774945436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380774951546
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1380774952529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774967267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774967979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774970081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774970235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774972002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774973529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774983273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774988685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380774996959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775004189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775004512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775007348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775007821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775015797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775020449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775036586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775040990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775055594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775057920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775064864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775067440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775230152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775231536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775289598
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380775291905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380775297630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775300129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775300436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775302806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775302886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775304678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775305160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775319231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775321844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775358824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775360853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775862830
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380775864867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380775869003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775871935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775872291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775874164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775874240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775875371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775875867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775882084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775884636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775960115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775965033
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380775966355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380775966386
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380775966413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1380775970170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380776001995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380776002291
