what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365289218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365292355
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381365292396
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381365292403
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381365292437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365292617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365308162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365308655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381365316128
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381365354263
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381365532557
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381365536333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366034675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366193613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366430286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366430514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366432549
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381366432606
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381366432643
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381366432643
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381366432731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366432754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366437836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366439672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366439895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381366441025
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381366441056
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381366441091
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381366441091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381366441225
