what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1381209010699
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1381209010714
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1381209010750
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1381209010751
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1381209010764
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1381209010765
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1381209010767
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1381209010780
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1381209010781
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1381209010796
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1381209010808
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1381209010809
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1381209010822
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1381209010822
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1381209010823
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1381209010823
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1381209010831
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1381209010832
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1381209010848
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1381209010849
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1381209010854
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1381209010858
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1381209010868
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1381209010873
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1381209010884
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1381209010884
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1381209010897
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1381209010899
os,sysinfo,,,"macosx",1381209010901
arch,sysinfo,,,"x86",1381209010901
ws,sysinfo,,,"cocoa",1381209010901
locale,sysinfo,,,"en_US",1381209010901
processors,sysinfo,,,"4",1381209010901
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1381209010901
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1381209010901
java.specification.name,sysinfo,,,"Java Platform API Specification",1381209010901
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381209010901
java.specification.version,sysinfo,,,"1.6",1381209010901
java.vendor,sysinfo,,,"Apple Inc.",1381209010901
java.version,sysinfo,,,"1.6.0_51",1381209010901
java.vm.info,sysinfo,,,"mixed mode",1381209010901
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1381209010901
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1381209010901
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381209010901
java.vm.specification.version,sysinfo,,,"1.0",1381209010901
java.vm.vendor,sysinfo,,,"Apple Inc.",1381209010901
java.vm.version,sysinfo,,,"20.51-b01-457",1381209010901
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1381209011172
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1381209011358
